user_id,email,signup_date,country
u02-000000,user0@uni.edu,2026-08-14,AU
u02-000001,user1@example.com,2026-07-26,IN
u02-000002,user2@mail.co.in,2026-04-11,DE
u02-000003,user3@example.com,2026-09-14,SG
u02-000004,user4@mail.co.in,2026-05-24,AU
u02-000005,user5@uni.edu,2026-02-26,SG
u02-000006,user6@corp.io,2026-05-12,IN
u02-000007,user7@corp.io,2026-02-12,DE
u02-000008,user8@uni.edu,2026-03-23,IN
u02-000009,user9@corp.io,2026-02-26,SG
u02-000010,user10@mail.co.in,2026-01-13,IN
u02-000011,user11@corp.io,2026-02-25,IN
u02-000012,user12@corp.io,2026-05-10,IN
u02-000013,user13@mail.co.in,2026-03-13,SG
u02-000014,user14@example.com,2026-02-17,IN
u02-000015,user15@mail.co.in,2026-01-17,DE
u02-000016,user16@uni.edu,2026-07-25,US
u02-000017,user17@uni.edu,2026-04-22,SG
u02-000018,user18@example.com,2026-07-14,IN
u02-000019,user19@example.com,2026-05-28,AU
u02-000020,user20@uni.edu,2026-07-11,SG
u02-000021,user21@corp.io,2026-06-11,IN
u02-000022,user22@uni.edu,2026-09-23,IN
u02-000023,user23@corp.io,2026-03-13,AU
u02-000024,user24@uni.edu,2026-02-11,US
u02-000025,user25@corp.io,2026-07-19,AU
u02-000026,user26@uni.edu,2026-05-24,AU
u02-000027,user27@mail.co.in,2026-04-18,US
u02-000028,user28@example.com,2026-07-18,IN
u02-000029,user29@uni.edu,2026-09-19,DE
u02-000030,user30@corp.io,2026-01-20,GB
u02-000031,user31@mail.co.in,2026-08-12,GB
u02-000032,user32@example.com,2026-04-15,SG
u02-000033,user33@example.com,2026-03-21,DE
u02-000034,user34@uni.edu,2026-05-15,IN
u02-000035,user35@corp.io,2026-02-19,US
u02-000036,user36@example.com,2026-09-11,IN
u02-000037,user37@mail.co.in,2026-04-20,DE
u02-000038,user38@uni.edu,2026-07-17,SG
u02-000039,user39@corp.io,2026-08-10,GB
u02-000040,user40@uni.edu,2026-04-27,IN
u02-000041,user41@corp.io,2026-06-14,SG
u02-000042,user42@mail.co.in,2026-07-12,DE
u02-000043,user43@corp.io,2026-03-16,DE
u02-000044,user44@corp.io,2026-03-10,SG
u02-000045,user45@uni.edu,2026-05-15,AU
u02-000046,user46@corp.io,2026-04-10,IN
u02-000047,user47@mail.co.in,2026-08-24,GB
u02-000048,user48@corp.io,2026-01-24,US
u02-000049,user49@example.com,2026-07-21,GB
u02-000050,user50@example.com,2026-09-18,AU
u02-000051,user51@example.com,2026-09-27,AU
u02-000052,user52@corp.io,2026-05-12,AU
u02-000053,user53@example.com,2026-05-19,IN
u02-000054,user54@corp.io,2026-08-13,US
u02-000055,user55@mail.co.in,2026-09-25,US
u02-000056,user56@mail.co.in,2026-09-19,DE
u02-000057,user57@mail.co.in,2026-05-13,DE
u02-000058,user58@example.com,2026-03-12,IN
u02-000059,user59@uni.edu,2026-05-10,AU
u02-000060,user60@mail.co.in,2026-03-27,AU
u02-000061,user61@mail.co.in,2026-05-23,SG
u02-000062,user62@example.com,2026-02-11,IN
u02-000063,user63@uni.edu,2026-08-21,IN
u02-000064,user64@mail.co.in,2026-01-14,US
u02-000065,user65@example.com,2026-01-11,DE
